timestamp,elapsed_sec,participant_id,player,team,item_id,quantity,confidence
2026-08-01T11:13:37.648Z,193.853,1,Kiin,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:28:02.033Z,1058.238,1,Kiin,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:35:13.503Z,1489.708,1,Kiin,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:36:43.357Z,1579.562,1,Kiin,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:38:01.017Z,1657.222,1,Kiin,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:16:26.899Z,363.104,2,Canyon,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:20:33.260Z,609.465,2,Canyon,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:22:04.107Z,700.312,2,Canyon,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:24:15.151Z,831.356,2,Canyon,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:26:51.627Z,987.832,2,Canyon,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:29:31.346Z,1147.551,2,Canyon,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:31:02.210Z,1238.415,2,Canyon,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:33:48.307Z,1404.512,2,Canyon,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:34:15.634Z,1431.839,2,Canyon,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:37:56.942Z,1653.147,2,Canyon,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:37:57.075Z,1653.28,2,Canyon,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:39:44.072Z,1760.277,2,Canyon,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:39:44.839Z,1761.044,2,Canyon,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:42:58.917Z,1955.122,2,Canyon,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:42:59.050Z,1955.255,2,Canyon,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:14:46.094Z,262.299,3,Chovy,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:32:32.393Z,1328.598,3,Chovy,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:33:22.068Z,1378.273,3,Chovy,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:39:59.684Z,1775.889,3,Chovy,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:16:40.059Z,376.264,4,Ruler,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:22:13.427Z,709.632,4,Ruler,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:23:10.589Z,766.794,4,Ruler,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:25:47.155Z,923.36,4,Ruler,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:30:12.800Z,1189.005,4,Ruler,Gen.G,2055,1,observed_inventory_increase_lower_bound
2026-08-01T11:38:23.235Z,1679.44,4,Ruler,Gen.G,2055,1,observed_inventory_increase_lower_bound
